,reviews
82,"Right so the below is what I sent to Emirates customer services on the 4th of August after our first flight and have still not had a reply. When I booked my holiday, I specifically asked the operator if I would be able to upgrade at a later date and was told yes, I would. I also called your offices several times to check prices and was told that the best thing to do would be to wait until I checked in at the airport for the best price. This was told to me the numerous times I called all by different people. When I got to Heathrow and checked in the checking in lady informed me that I was not able to upgrade because if the ticket I had purchased. Please can you explain to me why during my numerous calls that none of the operators that I spoke to was able to let me know that my ticket did not allow me to upgrade. I thought that maybe considering everything that has gone on that I may be able to afford an upgrade at the airport for myself and my daughter but was told I wasn’t even going to be able to do this. Your customer services have really failed in explaining the situation to me and I am extremely disappointed in the way I have been dealt with. This is the first time I have ever flown with emirates as I normally fly with virgin but decided to try something new. Please can you come back to me to let me know how something like this was able to happen as it would never have happened at virgin and what measures you will be putting in place for something like lack of communication to happen again. My daughter was extremely disappointed at Heathrow on Tuesday. I am now adding to this as the experience we received on our way back was even worse. So we arrived at Male airport for our return flight and again tried to upgrade. This time we dealt with Saadha Abdulla, who hardly said a word to us and was constantly on the phone. This time she apparently managed to do the upgrade for the full trip and took the money off my card, but then told me oh sorry it not possible because of the type of ticket I have. However, she had already taken the Dollar amount from my card. She then said that she voided it. However, upon checking my bank the money had not arrived. She then dumped our passports on the side and started dealing with another customer. I asked her what was going on and she ignored me. By this time checking had already closed and so I'm assuming her supervisor Suzan Waheed came over to see what was happening. She informed me that checking had closed and that she was holding it open for us by 5 more minutes to check in. So now my daughter is in tears thinking that we won't be able to get on the flight and get home. As the money still have not been received back on my card, I had to ask my brother to transfer funds so that I could pay for the upgrade for the part of our trip to Dubai. With last calls going out we had to run all the way to the gate, and because of time shortage I have a personal accident on the way which was really embarrassing.Once we got on the plane, I sorted myself out and then my daughter sorted herself out with the blanket etc and to add insult to injury while going through the seat pocket, got glass stuck in her finger (and yes, I do have a picture her finger with a piece of glass sticking out of it) shocking. We went to the steward to ask for pillars, and he informed us that they don't have any and that I would have to take the glass out myself and then wash my hands. So, I ask the question. What happened to the onboard first aid kit, or does it only hold a wash solution which the steward poured on my hands? Well, who knows. I cannot believe we experienced such bad service from Emirates, as my title states STILL IN SHOCK"
83,Absolutely agree with the below reportBooked in July for flights to NZ jan 2023 to get seats I preferred...few days ago had a email to say tickets cancelled with no explanation why ....all phones to customer service not working as others like myself trying to get through...and also blocked on there voucher scheme as I made a few mistakes filling in ..and now can’t get through on phone to anyone to put things right ...so put in for a refund still not heard back ..terrible service from emirates
84,"Really saddened to find myself writing a disillusioned and frankly disappointed review of Emirates. Contextually - Emirates has been my Long Haul Airline of Choice since 2007. Upper tier Skywards member - so you would think - a valued customer.How wrong I was.I booked (and paid) for flights from the UK to New Zealand for February 2023 in May 2022. With the crazy pricing that is happening - No more Business Class - I decided to go Premium Economy. Changes to Emirates scheduling - meant they cancelled my flights - for ""Operational Reasons"" OK - so I called to see what my options were - well - the fun and games began, and I have to say I am beyond disappointed at the way Emirates (not the team member I spoke to) but the airline itself - through its rigid enforcement of policies and procedures - has now alientaed a long standing customer. Someone who has always lauded them, has spend THOUSANDS with them over 15 Years - and for what - Nothing !!Did they care about the loss of a good customer - no !!I will not bore you with all the details  of the poor service I have recieved - but at the end of a 40 minute call- with Customer Service - the icing on the cake was : When I booked - they took exactly 3 MINUTES - to take the money from me - and now that EMIRATES (Not Me) has cancelled my flights - it is going to take 15 Working Days to get my money back. 3 minutes to take it - and 3 Weeks to get it back.I was speechless - and was left bereft of any loyalty - to an airline that was - for a long time - my go to preference for long haul, and premium travel. Not any more. Shoddy Emirates - absolutely shoddy - the way you treat previously loyal customers - is apalling. Im going back to SQ now ! They can have my bookings and my cash !!Sir Tim Clark - the airline isn't the proud flagship - it once was. Shame."
85,"Do not use Emirates worst airline ever. My family of 7 booked flights in December 2020 to Maldives but had to cancel due to Covid. Emirates did not refund our money but extended our tickets, Now in 2022 when we wanted to travel to India we were asked to pay an additional R20 000 for tickets yet Emirates had our payment of R89 000 for over 1 year. In Mumbai we went to the airport to catch our scheduled flight but could not board because of visa issues. We asked the Emirates supervisor at Emirates counter not to cancel our connecting flight from Dubai to Durban as we had a 4 day stay in Dubai and then onward to Durban. Emirates still cancelled our flight without any notification although we were in Dubai to catch our flight to Durban. We had to book alternate flights on Kenyan Airlines at a cost pf R118 000. Emirates is now refusing to compensate us for our flight from Dubai to Durban yet our same seats were sold for R248 000. Never using Emirates again."
86,Emirates cancelled my flight and then refused to refund the seat upgrades i had paid for.  Impossible to get someone to talk to to get it sorted.  A number of calls and forms later and still no further on.  I thought Emirates was about customer experience - Terrible!
87,They were rude. I bought my ticket on the 31st of July. Canceled it on the 1st and still had to pay a fee even though the website said free cancellation within 24 hours
88,EMIRATE AIRLINES  is one of the best AIRLINES in the world with a best service for passengers und take care of children But this time unfortunately some one broke my clothes bag and I think IT’S NOT Management FAULT but maybe some Transport companies or workers did broken my bagBut I am happy with the Airlines service Thanks to all board of directors und members Your senserly Akbari
89,Very good service from ground staff and the flight crews on Emirates business class  from Oslo to Cebu via Dubai Everything was very well organized and easy to find the gate in Dubai due to app update on departure gate on arrival. Because of late booking due to flight cancellation on another airline the offered price was not too expencive.
90,"The air hostesses are so rude, unfriendly and don’t want to help. One of them came and told me that my toddler was making the flight less enjoyable."
91,I flew to Dubai on 02/07/22 and was told before i boarded the plane that my suitcase was missing. It has been 4 weeks now and i still haven't received my case back. I get no updates and if i do hear anything its a basic update with no real information. I have not been any offered any compensation and barely any apologies. I was told every day my case would arrive on the next flight while i was away. It ruined my holiday having to chase them up each day. The staff were rude and so unhelpful. I am out of pocket having now returned home and having to re buy my missing everyday items. I am so shocked at the poor customer service i have received. Never would have imagined i would be treated this way by Emirates who advertise “first class service” appalling!!
92,"I had to fly home at short notice for my brother’s funeral. The Emirates flight was £1300 (flex plus was all that was left) which was a lot more expensive than what I usually pay (about £500)When I arrived at the airport I found check in staff to be unhelpful. Then the plane was delayed but i was assured that my onward connection in Amsterdam but when I arrived at Ams my plane had departed. I was in pieces as I was fearful of missing my brother’s funeral. Emirates offered me a flight 24 hours later but that was no good.They then offered me a flight to Nairobi via Entebbe, Uganda which would get me to Nairobi on the morning of the funeral. However, when I arrived at Entebbe I was refused boarding on the flight for Nairobi and no reason was given ( I don’t think Emirates had booked the flight properly with Kenyan Airways)I was stuck in Entebbe with no money and no roaming on my phone so I had to Whattsap my partner back home. He spent half an hour and £60 sorting out a flight the next morning to Nairobi.To be honest cattle are treated better than this on their way to slaughter!In the end I arrived in Nairobi a day after my brother’s funeral and I was devastated.I complained to Emirates via several letters but they said the delay’s weren’t their fault and denied responsibility. They offered me some Skywards Airmiles which I said were no good to me as I will never fly Emirates again.I’m now complaining to the Civil Aviation Authority and they will find out what really happened"
93,"WORST Customer Service and airport staff are psycho( asked my son to thrown the book he was holding in his hands as it will be also consider as weight) They need to be taught what Empathy means. I booked my ticket with additional Baggage(60 Kg) at a discounted rate as additional baggage at check will cost $30 per kg, i got my e ticket, but when i went to check in they said i did not purchase, but money was debited from my card. When I checked with customer support they said it was reverted and i will get my money in 10-15 days. Problem with emirate- they took my money for additional baggage- They reverted it and did not inform me ( no mail, no text .. nothing)- they keep the money for 15 days for a services i did not use.- Thou they know i tried to purchase the service and problem is on their side, they  were not ready to give me the discounted price.- Employees with in Emirates dont have information about a booking. Airport staff asking me to call customer care when he was suppose to know everything.I will not recommend EMIRATES (flight is good), as people work there are very rude and all they don't care about customers."
94,"The worst experience we have ever had with an international airline. We almost missed our outbound flight from JFK due to their incompetence. On getting to Dubai, our luggage did not arrive with us. It took them more than 24 hours to deliver our luggage to the hotel. Coming back to US, we paid for wifi, which only worked for 10 minutes throughout the 15hr flight from Dubai to San Francisco. On getting to San Francisco, we missed our connecting flight to Phoenix because we couldn't find one of our luggage. We went to their kiosk in San Francisco to inform them we have missed our connecting flight and to assist us with connecting to another flight to Phoenix, they were rude and said we should call the reservation. We called the reservation line, explaining why we missed our connecting to Phoenix, the customer service rep was also rude, stating stating she is unable to help connect us to another flight, that we have to be responsible for booking another connecting flight ourselves. We couldn't spend the night in San Francisco, so I paid another $850 plus to get me and my family to Phoenix. On getting to Phoenix, we found the luggage that was missing from San Francisco in the Carrousel in Phoenix. The bag was ripped open and compromised. My kids shoes, dresses and our jewelries were missing from the bag. This was our first time flying with Emirate Airline and it was a really bad experience."
95,"Terrible and rude staff, the staff there are trained to be rude and cut throat, they dont even care to listen or help, yet it was a mishap on their side but it was more like stuff it, so what would you like to do, refund or....no intention to try and solve the problem.Don’t believe the Emirates hype, far from customer friendly, not worth their name on paper, terrible terrible gut wrenching experience, never using them again."
96,Outbound flight was changed and Emirates which meant I had to take more days off and then they charged me for changing the return journey even though they changed the dates themselves.
97,"Emirates Airlines are violating human rights and humiliating a passenger who was deniedentrance into the United States and involuntarily deported by USA immigration (NOT criminal).The US immigration officer stated TWICE that the deported person will be sent back home totheir original boarding city for no cost to the passenger. Passenger wasn’t able to choose theflights and the immigration officers were the ones that booked his flight and escorted him backto the plane.However, after arrival into Dubai from Miami, the Emirates Airline agents detained thepassenger, took his passport (which is his form of ID) and are holding him hostage and unableto leave the country back home until the flight is paid for. The first available flight is 2 days fromnow and the passenger is unable to leave the airport or stay at a hotel due to the detainedidentification. Passenger was previously traveling for 3 days straight, hasn’t slept, is stressed aswell as frustrated, not feeling well due to the whole situation, the amount of travel, and thepsychological pressure from the agents, etc. The agent stated that if the flight isn’t paid for after24 hours, they will call the Dubai police and the passenger is going to be arrested and dealt withaccordingly.After some research and contact with the passenger embassy we found out that the unwillinglydeparted individual is not responsible for the cost of the flights back due to said deportation.While attempting to talk with the “agent” who continually berated us with a bad attitude,unwillingness to listen and solutions to the problem, as well as psychological pressure, theagent stated that the US immigration officer was “a liar” and that the passenger who wasinvoluntary denied entrance into the US is responsible for the cost of the flight home (which hecannot afford). The agent continuously would repeat “listen, listen, listen” trying to shut us upand refusing to hear what we were trying to explain to him. He stated that the passenger needsto contact his friends and family begging for money for the full cost of the flight of $1,750. Theagent refused to believe that we were just helping the passenger with translation and insinuatedthat we could pay for his flight instead. When asked for his name and title to know who we weredealing with he refused to provide that information except for the first name that sounded like“Vahlid”. When asked to further specify this information he would just raise his voice and getangry asking “why do you need to know this information?”. After multiple attempts of trying tohave a civil conversation with this person, he simply walked away.Even if the passenger somehow manages to find the money, the next available flight isn’tavailable until 2 days from now. In accordance with ICAO (International Civil AviationOrganization) when a layover is more than 12 hours long, the airline is supposed to provide thepassenger with a hotel or place to rest. Emirates Airlines refused to do this as well for thepassenger which means the passenger is stuck in the airport terminal for more than 2 dayswithout a bed, shower, or any comfort.#emirates #emiratesairline"
98,"I booked a ticket for my daughter where I made one misspelled of her last name; Anastasia instead of Anastasya. To make the revision,  Emirates charged us GBP 20 :("
99,"Ten days before my hols, I was making a checklist.I happened to go into the Emirates app to find that there was a star next to the itinerary tab; I went into it, only to find my flight had changed from morning to later afternoon.I had not received any email or text message to say they had changed it. I called the emirates help desk. Useless! Faced with appalling customer service. With no explanation as to why it was changed Going with a family of four with a child with health conditions. Emirates, are happy to take your money upon booking but to address any concerns you are only asked to fill in a feedback form!Terrible."
100,The que line of emirate desk at the airport of of zurich is so long and slow it was only on desk open for online checking !!! They did not even bother to open an other deskI dont see the point to do online checkin to wait 2 h in The que Thank you and bravo emirates
101,"I am never one to leave bad reviews, however the rip-off that this Airline is, I would never recommend anyone use them....Ever! We had our flights cancelled while on vacation as result of Covid impact and at the time were informed we could keep the tickets for future flights or choose to receive a full refund . (This ended up being a load of Bull)We opted for the refund. They ended up removing charges for taxes etc and for a flight from South Africa to London (which is expensive by the way) we only received £90.60 in return for each of the tickets(2). None of this was fully explained, also they did not give a CRAP that as result of their cancellations, we needed to spend additional funds to extend our stays at different hotels and they did not open flights at all, so we needed to book with another airline which cost us even more to get home.The lack of empathy, consideration and the exorbitant and daylight robbery charges taken off the refund shows that they do not care about customers and that they are a monopoly hungry airline.We have decided to go ahead and log further complaints through UK Aviation authority as we know they have done this to many other customers which found themselves in the same situation."
102,"Got an urgent issue you need to solve? Sorry, there’s no way to do that. Try in a month.Contact via live chat? Never available.Via facebook? All that you get is, automated messages about how much they care about your concern.Phone number? Only if you’re calling from the country of your departure.May be email? Wait for a week and get an email redirecting you to facebook. So much fun.Oh right, and whatsapp doesn’t work either."
103,"I have attempted to book seats on my upcoming flight to go on my honeymoon and have encountered an error (several times) which asked me to contact Emirates and gave me a phone number to call. I rang the phone number (Emirates Airlines) to be told that there is an issue with one of the tickets and that I'd need to contact Emirates Holidays for them to re-issue it. I contacted them on the number provided, after being passed from one person to the next and intermittently sitting on hold for 2 and a half hours I gave up and emailed a complaint! The response was to try booking the seats via the Emirates App - tried this, it didn't work. Later the same day I received a phone call in response to my complaint, during which I was told to try and book the seats again and they would 'talk me through' how to do this, like I was incapable. After doing so the same error message appeared once again. She then told me that I would need to speak to Emirates Airlines because she can't take secure payment for the seat booking on the number she was calling from. She said to ask to speak to a supervisor if the person on the line was unable to help. I have spoken to Emirates Airlines again this morning who have said that I once again that it is an Emirates Holidays issue, there is something wrong with the ticket issued for my partner on one leg of the flight. I asked to speak to a supervisor, as I had been advised the previous day but they wouldn't put me through. They said that they have looked into the issue and I would need to speak with 'flight centre' in order to get the problem resolved, spouting a load of nonsense about the code on the ticket that I didn't understand, but that they would update the notes so that the next person would know what the issue was. I am now sat on hold, to who knows, waiting for the issue to be resolved.This isn't the first issue that we've experienced with Emirates either, the first was a change in our flight which has probably triggered all of this mess."
104,"Customer service is appalling just to speak to someone takes over 1/5 hours. trying to finalize my trip to Dubai and Thailand, considering cancelling and going with another provider after already spending 11k with them"
105,"We had our Holiday to Dubai booked for this Autumn but with Covid cases rising and further restrictions being heavily policed with uncontestable fines we thought it best to avoid Dubai for numerous reasons.Emirates said they are not Tui and do not consider any holiday issues to be the responsibility of anybody beside the customer who is gambling booking with them.We only wanted a delay or move destinations, we made no request for a full or partial refund.The attitude was have a miserable holiday or lose your money altogether.Obviously they are to big to need to provide customer satisfaction.Honestly, what a shame in the way Emirates have moved forward in making a living as sky bandits."
106,Worst customer service ever - luggage handling. I flew from Copenhagen to JFK with Emirates through Dubai. My luggage didn't make it through. I filled out a PIR report in the airport when arriving. Emirates located my luggage but delivered it to the wrong address!!! I have called customer service 8 times over the last week and they all promise to help however no-one ever get back or help find the luggage. Result is that my two suitcases are now lost somewhere in New Orleans and I am not able to get any refund from Emirates as no-one ever gets back or want to help.
107,The  worsest airplane staff I have ever experienced in life.They are heartless  racist and extremely rude.
108,"Worst airways ever.  The use the most fraudulent methods to deceive passengers.  The firs flight was delayed for 3 hours!  So my wife could not make to her second flight.  They have not given her another boarding pass, no hotels, nothin.  She has waited there for 6 hours and they Emirates staff in Dubai do not answer her.  So frustrating.  We even found a flight on Sky Scanner website and shown that to them.  But they avoid to book that for her.  Shame on Emirates airways all over the world."
109,"EMIRATES from Dubai to CPH: the biggest fraud and the most incompetent Airline ever witnessed - and I’ve been around. For a ticket Price of 9.000 DK / 1.350 usd one would at least expect a seat you can sit in, “especially” when other empty seats are available. But NO. Not according to their policy. So standing for 6 hours it is. My seat in flex had 30 cm space bcs a Huuge guy was sitting next to it. If I wanted to change, then “I” had to pay extra. I even invited the crew to sit and see themselves, but they politely declined. Ehmm OKA top run airline with a staff working as a swarm of entitled sheep, giving absolutely no care to revenue passengers. A mentality so ridiculous that it’s hard to comprehend"
110,"Check in at the airport (DXB) was terrible. The lady was on TikTok and we spent about an hour to check in less than 15 people. I saw the TikTok on her phone screen when she called us up to check us in. They were so slow and could care less about us all. The flight attendants who served us were very terrible also. They were treating us as if we didn’t belong there, or as if they were doing us favors. We were really excited to try Emirates to have the experience, but it turned out disappointing and very unimpressed. Emirates Airline was one of our dream airlines to travel on, and it turned out to be a disappointment. This 16hr DXB-DFW flight has been the worst experience for us, and I hope it’s the last time. I thought Emirates was the best out there, but I think I might be wrong (based on such bad experience and treatment)."
111,"On 1st july 2022 me and my fiance we boarded a flight from kenya,the passport control was delayed due to unknown cirmcustances..we were patient more than the expected time..Finally we boarded the flight and we were welcomed in a warm matter..so as we proceeded our journey we felt thirsty and ordered drinks as per procedure we pressed the call button thrice for the  crew to come through..we got our first drinks swiftly the lady was so nice and  so welcoming..the second call we got a different crew she had eye glasses name by Zesrine Zbidi very rude and unproffetional staff who felt bothered each time we ordered for something she  even talked very rude to us saying that she will confirm if they had drinks left whereas other crews gave us whatever we needed upon request she even gave us a shouting voice upon request i have personally known emirates for top notch service not such a staff with attitude and rudeness please as management you should look into the matter coz not only me had complain but the rest of my surrounding who were angry...Emirates is the best flying platform please keep up but such people ruin our experience.."
112,"We travelled from Seychelles to London on the 21 May at 23:50 on 21 May, with a transit/ connection at Dubai airport. We arrived at Dubai from Seychelles at 04:20 in the morning on 22 May. Our flight from Dubai to London departed at 07:45 on 22 May, but we were asked to be at the boarding gate at 07:00. Boarding had started when we arrived at the gate at 06:45. Given that we were on the midnight flight from Seychelles, and were not served breakfast before landing, we were expecting to be served breakfast on our flight from Dubai to London, especially as we were boarding at 06:45. However, this turned out not to be the case. It must have been an hour later during the flight, around 08:45 that we were finally given something to eat and drink. It was a small jam pastry, a very small pot of yoghurt and a cup of water. We were offered a hot drink and I had some tea. The breakfast was very small, more of a snack, and I was very surprised that Emirates were not serving a full breakfast at this time. My husband and I were very hungry and couldn't sleep, despite only having slept 3-4 hours that night, due to our journey. The flight duration was 7 hours and 40 minutes. At 11:30 am, I got up and found a steward and asked him for a snack. He told me that they will be serving lunch in 30 minutes, and gave me a couple of packets of savoury biscuits. His manner was dismissive and cold, the sort of manner that aircrew reserve for economy passengers who are clearly beneath them. We ate the biscuits but were still hungry. I am not a big eater and am petite, but not having eaten since 23:00 the night before was taking it's toll. In frustration, I pressed the attendant button from my seat, as we were asked to fasten our seat belts due to the turbulence. No one came. Finally, we were served lunch at about 13:00 and I did complain to the stewardess. There was no apology, she just said I should submit this online complaint. I noticed that it took her about an hour to serve lunch as she was serving meals and drinks on her own without another staff member to help. This is unusual as we normally see 2 staff serving from each trolley. I was very disappointed in the flight and if I'd known better,  my husband and I could have had breakfast at Dubai airport before boarding. But then, why should we, when the air tickets are quite expensive. It is normal to expect breakfast on a flight during 7 -9 am, don't you agree ? All in all, we won't be travelling with Emirates again."
113,If I can give 0 I will bc of the  service of mostly of the staff of Emirates they are so rude & the way how they talk & they talk about the customer front of you it’s normal u will hear that tow staff they are talking & laughing about you on you face and also when you ask a help in the airport he Scream on my face & even on general the staff when they ask for something they ask by order . As Emirates airlines they have to provide a training to teach her team how to handle the customer and how to approach them and to give good customer service bc sorry to say as Emirates has very bad customer service only very few staff they are polite
114,"Terrible and rude front desk workers, not only did they deny my flight because my valid Covid test didn’t have a QR code, but they were extremely rude and aggressive about it, never experienced more disrespect from an airline in my life"
115,dubai airport looking for monitor for my next transfer asking everyone was at diffrent terminal took me over hours getting through there secuity then getting otherside missed my plane there one team saying dont we get on the next one then they charged me many others for our next flights what a con there many money out this way i never again will use them
116,"Hi, Check in crew didnt provide information that face masks are mandatory for boarding the flight. However they asked for face mask while boarding the flight otherwise we will not be allowed to board. 40 mins for flight departure and we were asked to clear immigration and go to a store in airport to buy a mask. Clear immigration again and come to gate for boarding. Immigration queues are so long due to holiday season how can such a crucial information can be provided in the last minute. Experience with emirates crew has been worsened even before boarding."
117,"Emirate is the worst airline to fly with.  Please do not fly Emirate.  The staff crew were rude and disrespectful to my disabled aged mother.  Despite medical clearance from our doctor,  my mother was refused entrance in the plane.  When we asked for a refund from CS, Emirate lied to us and stated that my mother was a no show.  I also noticed when I had flown with them that they were prejudiced towards Africans of darker skin and would ignore any request asked to their hostesses by black people.  DO NOT FLY WITH THEM!!!!"
118,"I flew Emirates in business class from Australia to London. On arrival, my cabin sized bag (which I checked in) was very badly damaged. The bag is over 3 years old but in light of the lockdowns Australians have endured in 2020 and 2021, the bag has been used only 4 times. It was an expensive bag and costs approximately GBP370 to replace.  After going through the hoops in making a claim with LHR (that deals with compensation in these matters), an offer of GBP173 was made. I rejected this offer and was told to contact Emirates direct. I did, and have sent 2 emails. Other than an automated message acknowledging receipt of my complaint, I have not received any real or effective response from Emirates. Considering the amount involved, and considering how much I spent on the business class fares, Emirates should deal with this claim quickly and efficiently. As things stand, I would choose another airline before flying with Emirates again."
119,"If there is option, i will give them 0 stars. Dodgy airline. When I called, I was misguided about Dubai connect. Curtomer service almost non existent. Trying first time and such a terrible experience. I will never use Emirates ever again."
120,"Flew Emirates first class from Manchester to Dubai and then Seychelles. The service was amazing, the crew were the best . Emirates airlines was a experience to remember, sadly the same can’t be said for there sister company ( Emirates holidays )  Complete opposite to our experience with the airline . It’s a shame Emirates airlines doesn’t run Emirates holidays . Would most definitely recommend Emirates Airlines, but sadly not Emirates holidays ."
121,"Just cannot get through on the phone to sort a query relating to a flight they refused refund in Covid, now I want to redeem my credit...they wont take the call. Call handling system is abysmal. No estimated wait duration or place in the queue. Emirates, you in the dark ages..."
122,"I booked a round trip from Raleigh, North Carolina to Bangalore via Emirates.com website.  Flight from Raleigh to JFK was operated by Jet Blue.  Because JetBlue got delayed, I missed a flight from JFK to Dubai.  I was stranded at JFK airport, at night 2 am with no help from Emirates. I am just a 19-year-old female.1) Once they announced the delay, I asked Emirates help desk in Raleigh to postpone the trip to the next day.  They blatantly denied it. 2) After reaching JFK at 1 am due to delay, I went to Emirates JFK Terminal-4, the lady there refused to help saying it is JetBlue's problem (even though ticket was booked through Emerites.com web site.  I had to take an Uber ($25) from Terminal 5 to Terminal 4, because air train was broken.3) Huge line in front of JetBlue, after 1 hour wait - JetBlue told me that I need to go back to Emirates at Terminal -4.  I told JetBlue that I had already gone to the Emirates help desk.Finally, after 3 hours of deliberation between Emirates and JetBlue, I was booked on an AirIndia flight because Emirates flights are ""fully booked""."
123,"Glas- Dubai-Perth and back again.The whole trip delivered by the onboard crew was great, very hard working people and always had you covered , my only negative was the interior of the 777 on all legs of the journey, they are starting to age now with their ICE screens being unresponsive, broken connections to headphones, chairs not reclining , time for a revamp Emirates .Got me to where I needed to be on time and safe so thank you ."
124,"We have flown with Emirates many times, they have been average in the past but recently extremely poor. Booking in was average and we asked about upgrades willing to pay the difference but the lad checking us in was indifferent and dismissive. Paid for extra legroom but that was a waste of time and money. Seats on the plane very uncomfortable and the crew didn't care about the passengers. Food inedible. Got there and enjoyed a very nice holiday in Dubai, so much so that we are going back in September. Flying back to the UK we asked again at DBX about paying for upgrades but was told the flight is full. TOTAL LIE. after boarding we saw that were a number of business seats empty. So they would rather lose money than go to the trouble of upgrading and earning some money. Booked yesterday and tried to use their loyalty miles to upgrade again but the system doesn't let you just goes round and round all the time. I gave up. So we will lose all the miles we have accrued over the years, because of the pandemic they have timed out.If you want decent service and some recognition of being alive then use another airline. I hear the service on Qatar and Etihad is good and a damn site cheaper."
125,"I was travelling alone with my 20 month old baby and was already under a lot of stress. My baby was sleeping when I boarded the flight at 4 AM, so when I was settling down I could only drop down the carry bag, from my shoulders, in front of me. The baby was sleeping on my lap so I was waiting for the help of the stewards to put my bag in the storage area. When I politely asked one of them if he could place my bag in the storage, he did it hesitantly saying that 'I will do it this time, next time you have to do it yourself. How RUDE is that ? I absolutely saw no EMPATHY at all in his response even though he could clearly see that I was travelling alone with a baby (no passengers were sitting next to me too) !!! I raised my concerns with their customer support team but they were justifying their crew saying that they were not obliged to help in that situation by their requirements. What a waste of my time writing to them. Pathetic people."
126,"Just called their customer service to get some help making changes to a flight. Gave all my details to customer support, and they said they'd put me through to the right team, sat on hold for 40 minutes only to be spoken to like an idiot by the person on the other end of the phone. Told me there is nothing they can do to help as I booked through Expedia and when I explained that Expedia won't help me either because it is a flight credit he said he didn't care there was nothing they can do. Very blunt, rude and all-around unhelpful - not the message Emirates seem to put across on their lovely TV ads about their ""amazing customer service"" is it??? Shocking"
127,"I used to like this airline but not after this scam experience. I bought a business class round trip from Bangkok to NYC about 6 months before the travel date. However, a month before - my work plan changed and I need to change my return flight. Cannot make changes online so I called a rep. After waiting on the phone for him to calculate the fare difference (the reason why it took 20 mins cause he said he had to calculate the fare manually), he told me that the fare difference is 150,xxx Thai baht, which is around $4,400!!! If you want flexibility to make changes to your itinerary, DO NOT book Emirates. Now I still don't know what to do because I can't change my flight and cannot attend this important meeting!!!"
128,"I have been trying to get hold of Emirates for the last month. Waited hours on hold just to be cut off, live chatted multiple times and emailed. Haven’t had a response off them at all, one agent got back to me on live chat began to help and then ignored the query, no response since. They are quick enough to contact you to pay the rest of your holiday off though!!! We are in need of moving are holiday, now we don’t want to even go with them as a company! They have ignored us for that long we could lose all the money we have paid! Awful customer service, wouldn’t ever book with this company again! Why would you pay for a service if you can’t ever get in touch with them for help!"
129,"Until recently Emirates have been amazing. This morning was my 11th return flight with them. It was 5 hrs into the journey before food was served, unfortunately when it arrived I had nodded off. I saw the people around me with food so buzzed the attendant. It took her around 20 mins to come to me, when she did she was very crosscat having to go and get me some. I felt like I was putting them out. For the price now charged to fly this service is unacceptable."
130,"I've been very dissapointed with Emirates' services lately. They used to be classy and quality airline with fantastic customer service, however now it takes hours and hours to get through to someone for assistance. Using their chat feature on their website is useless - it doesn't even place you in a queue, it just tells you to try again."
131,"Due to having a hip replacement while in South Africa it became necessary to change my return ticket to the UK. Having an open business class ticket didn’t appear to be a problem with a change of date especially as I was able to give three weeks notice, wrong. After many long attempts to contact bookings I managed to get through only to be told everything is fully booked but I can be waitlisted, but they can get me on the flight for an extra thousand pounds, so much for fully booked. I’m now stranded in RSA after my operation with no idea when I can get home. I’ve tried for two weeks to get through to customer care and bookings without success often holding on for over 2 hours before giving up. Emirates has lost its empathy with its customers, its service reputation just for pure financial gain. This is the price of 20 years of loyalty and gold member, wake up Emirates loyalty goes both ways."
132,Best Airline By Far! Flight Attendants Were So Kind!
133,"I need to travel with a 18 month old child and as I have never traveled with a child before I am not sure whether he would be happy on my lap or on the bassinet or on his own seat. I thought it is better to have all the options open, as it is a long haul flight and paid for the extra seat.After booking, I tried to book the bassinet. They said that I can't have the bassinet as I have already paid for a child seat! I paid nearly £600 for the child seat, only to be told that the child will fewer options because of it. Absolutely ridiculous.I asked them to cancel the child ticket and they have kept me on hold for the past 50 minutes as I am writing this review."
